player_name,player_url,player_birthday,player_height,player_foot,position,country_from,league_from,club_from,club_from_url,country_to,league_to,club_to,club_to_url,fee,year
Ante Rebic,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587,"Sep 21, 1993",185,right,Left Winger,Germany,Bundesliga,Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2020,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2020,6700000,2020
Mattéo Guendouzi,https://www.transfermarkt.com/matteo-guendouzi/profil/spieler/465830,"Apr 14, 1999",185,right,Central Midfield,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2020,Germany,Bundesliga,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2020,1000000,2020
James Rodríguez,https://www.transfermarkt.com/james-rodriguez/profil/spieler/88103,"Jul 12, 1991",181,left,Attacking Midfield,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2020,free transfer,2020
Francisco Trincão,https://www.transfermarkt.com/francisco-trincao/profil/spieler/412669,"Dec 29, 1999",184,left,Right Winger,Portugal,Liga NOS,SC Braga,https://www.transfermarkt.com/sc-braga/startseite/verein/1075/saison_id/2020,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2020,31000000,2020
Sergio Reguilón,https://www.transfermarkt.com/sergio-reguilon/profil/spieler/282429,"Dec 16, 1996",178,left,Left-Back,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,30000000,2020
Sébastien Haller,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375,"Jun 22, 1994",190,right,Centre-Forward,England,Premier League,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2020,Netherlands,Eredivisie,Ajax Amsterdam,https://www.transfermarkt.com/ajax-amsterdam/startseite/verein/610/saison_id/2020,22500000,2020
Moussa Dembélé,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004,"Jul 12, 1996",183,right,Centre-Forward,France,Ligue 1,Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2020,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,1500000,2020
Takefusa Kubo,https://www.transfermarkt.com/takefusa-kubo/profil/spieler/405398,"Jun 4, 2001",173,left,Right Winger,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,Spain,LaLiga,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2020,1250000,2020
Lucas Torreira,https://www.transfermarkt.com/lucas-torreira/profil/spieler/318077,"Feb 11, 1996",166,right,Defensive Midfield,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2020,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,loan transfer,2020
Allan,https://www.transfermarkt.com/allan/profil/spieler/126422,"Jan 8, 1991",175,right,Defensive Midfield,Italy,Serie A,SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2020,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2020,23600000,2020
