0,1,2,3,4,5,6,7,8,9
Bryan Gil,2019,19,2,1,4,0,0,810,
Bryan Gil,2020,30,4,4,6,0,0,2303,
Bryan Gil,2021,30,0,2,6,0,0,1479,
Matteo Politano,2018,48,6,6,5,0,1,3438,
Matteo Politano,2019,35,2,2,2,0,0,1198,
Matteo Politano,2020,50,12,5,5,0,0,2669,
Matteo Politano,2021,33,3,7,2,0,0,1687,
Dejan Kulusevski,2018,26,11,14,5,0,0,2082,
Dejan Kulusevski,2019,39,10,9,3,0,0,3064,
Dejan Kulusevski,2020,47,7,7,8,0,0,2738,
Dejan Kulusevski,2021,38,4,7,3,0,0,1781,
Joaquín Correa,2018,44,9,7,6,0,1,2710,
Joaquín Correa,2019,35,10,5,0,0,0,2383,
Joaquín Correa,2020,38,11,6,3,1,0,2673,
Joaquín Correa,2021,25,4,1,3,0,0,760,
Georginio Wijnaldum,2018,47,5,1,4,0,0,3705,
Georginio Wijnaldum,2019,47,6,0,0,0,0,3644,
Georginio Wijnaldum,2020,51,3,0,3,0,0,3922,
Georginio Wijnaldum,2021,31,3,3,2,0,0,1745,
Danny Ings,2018,25,8,3,1,0,0,1756,
Danny Ings,2019,42,25,3,3,0,0,3099,
Danny Ings,2020,33,13,4,1,0,0,2531,
Danny Ings,2021,24,5,5,2,0,0,1621,
Joe Willock,2018,20,12,2,2,0,0,1551,
Joe Willock,2019,44,5,1,4,0,0,1855,
Joe Willock,2020,32,11,3,2,0,0,1979,
Joe Willock,2021,26,2,0,0,0,0,1808,
Daniel James,2018,38,5,10,2,0,0,2815,
Daniel James,2019,46,4,7,4,0,0,3005,
Daniel James,2020,26,5,2,3,0,0,1521,
Daniel James,2021,31,4,4,6,0,0,2435,
Fikayo Tomori,2018,55,2,1,9,0,0,4811,
Fikayo Tomori,2019,22,2,1,4,0,0,1868,
Fikayo Tomori,2020,26,1,0,0,0,0,2129,
Fikayo Tomori,2021,31,1,0,4,0,0,2558,
Boubakary Soumaré,2018,24,1,0,3,0,0,1008,
Boubakary Soumaré,2019,30,0,1,0,1,1,2082,
Boubakary Soumaré,2020,43,0,2,4,0,0,2583,
Boubakary Soumaré,2021,29,0,1,2,0,0,1619,
Merih Demiral,2018,34,3,0,7,0,1,3062,
Merih Demiral,2019,8,1,1,1,0,0,598,
Merih Demiral,2020,24,0,1,4,1,0,1661,
