player_id,transfer_date,transfer_str,club_from,club_to,forum_link,clean_link,all_links
284854,07.11.2019,Transfer failed,https://www.transfermarkt.com/barcelona/startseite/verein/131,https://www.transfermarkt.com/ac-milan/startseite/verein/5,https://www.transfermarkt.com/carles-alena-to-ac-milan-/thread/forum/343/thread_id/6554/post_id/7115#7115,https://www.transfermarkt.com/carles-alena-to-ac-milan-/thread/forum/343/thread_id/6554/page/1,['https://www.transfermarkt.com/carles-alena-to-ac-milan-/thread/forum/343/thread_id/6554/page/1']
182889,27.09.2020,Transfer failed,https://www.transfermarkt.com/ogc-nice/startseite/verein/417,https://www.transfermarkt.com/aston-villa/startseite/verein/405,https://www.transfermarkt.com/wylan-cyprien-to-aston-villa-/thread/forum/180/thread_id/14003/post_id/23366#23366,https://www.transfermarkt.com/wylan-cyprien-to-aston-villa-/thread/forum/180/thread_id/14003/page/1,['https://www.transfermarkt.com/wylan-cyprien-to-aston-villa-/thread/forum/180/thread_id/14003/page/1']
315110,15.01.2020,Transfer failed,https://www.transfermarkt.com/villarreal/startseite/verein/1050,https://www.transfermarkt.com/west-ham/startseite/verein/379,https://www.transfermarkt.com/k-toko-ekambi-to-west-ham-united-/thread/forum/180/thread_id/13150/post_id/21865#21865,https://www.transfermarkt.com/k-toko-ekambi-to-west-ham-united-/thread/forum/180/thread_id/13150/page/1,['https://www.transfermarkt.com/k-toko-ekambi-to-west-ham-united-/thread/forum/180/thread_id/13150/page/1']
315110,15.01.2020,Transfer failed,https://www.transfermarkt.com/villarreal/startseite/verein/1050,https://www.transfermarkt.com/newcastle/startseite/verein/762,https://www.transfermarkt.com/k-toko-ekambi-to-newcastle-united-/thread/forum/180/thread_id/13149/post_id/21864#21864,https://www.transfermarkt.com/k-toko-ekambi-to-newcastle-united-/thread/forum/180/thread_id/13149/page/1,['https://www.transfermarkt.com/k-toko-ekambi-to-newcastle-united-/thread/forum/180/thread_id/13149/page/1']
355915,20.07.2021,Done deal,https://www.transfermarkt.com/juventus/startseite/verein/506,https://www.transfermarkt.com/spurs/startseite/verein/148,https://www.transfermarkt.com/cristian-romero-to-tottenham-hotspur-/thread/forum/180/thread_id/14455/post_id/24449#24449,https://www.transfermarkt.com/cristian-romero-to-tottenham-hotspur-/thread/forum/180/thread_id/14455/page/1,['https://www.transfermarkt.com/cristian-romero-to-tottenham-hotspur-/thread/forum/180/thread_id/14455/page/1']
355915,13.05.2021,Transfer failed,https://www.transfermarkt.com/juventus/startseite/verein/506,https://www.transfermarkt.com/man-utd/startseite/verein/985,https://www.transfermarkt.com/cristian-romero-to-manchester-united-/thread/forum/180/thread_id/14198/post_id/24035#24035,https://www.transfermarkt.com/cristian-romero-to-manchester-united-/thread/forum/180/thread_id/14198/page/1,['https://www.transfermarkt.com/cristian-romero-to-manchester-united-/thread/forum/180/thread_id/14198/page/1']
355915,28.07.2021,Transfer failed,https://www.transfermarkt.com/juventus/startseite/verein/506,https://www.transfermarkt.com/barcelona/startseite/verein/131,https://www.transfermarkt.com/cristian-romero-to-fc-barcelona-/thread/forum/343/thread_id/7246/post_id/8172#8172,https://www.transfermarkt.com/cristian-romero-to-fc-barcelona-/thread/forum/343/thread_id/7246/page/1,['https://www.transfermarkt.com/cristian-romero-to-fc-barcelona-/thread/forum/343/thread_id/7246/page/1']
179184,14.08.2021,Done deal,https://www.transfermarkt.com/chelsea/startseite/verein/631,https://www.transfermarkt.com/besiktas/startseite/verein/114,https://www.transfermarkt.com/michy-batshuayi-to-besiktas-jk-/thread/forum/180/thread_id/14549/post_id/24522#24522,https://www.transfermarkt.com/michy-batshuayi-to-besiktas-jk-/thread/forum/180/thread_id/14549/page/1,['https://www.transfermarkt.com/michy-batshuayi-to-besiktas-jk-/thread/forum/180/thread_id/14549/page/1']
179184,09.09.2020,Done deal,https://www.transfermarkt.com/chelsea/startseite/verein/631,https://www.transfermarkt.com/crystal-palace/startseite/verein/873,https://www.transfermarkt.com/michy-batshuayi-to-crystal-palace-/thread/forum/180/thread_id/13927/post_id/23183#23183,https://www.transfermarkt.com/michy-batshuayi-to-crystal-palace-/thread/forum/180/thread_id/13927/page/1,['https://www.transfermarkt.com/michy-batshuayi-to-crystal-palace-/thread/forum/180/thread_id/13927/page/1']
179184,16.08.2020,Transfer failed,https://www.transfermarkt.com/chelsea/startseite/verein/631,https://www.transfermarkt.com/leeds/startseite/verein/399,https://www.transfermarkt.com/leeds-united-interested-in-michy-batshuayi/thread/forum/180/thread_id/13818/post_id/22855#22855,https://www.transfermarkt.com/leeds-united-interested-in-michy-batshuayi/thread/forum/180/thread_id/13818/page/1,['https://www.transfermarkt.com/leeds-united-interested-in-michy-batshuayi/thread/forum/180/thread_id/13818/page/1']
179184,07.06.2020,Transfer failed,https://www.transfermarkt.com/chelsea/startseite/verein/631,https://www.transfermarkt.com/west-ham/startseite/verein/379,https://www.transfermarkt.com/michy-batshuayi-to-west-ham-united-/thread/forum/180/thread_id/13446/post_id/22214#22214,https://www.transfermarkt.com/michy-batshuayi-to-west-ham-united-/thread/forum/180/thread_id/13446/page/1,['https://www.transfermarkt.com/michy-batshuayi-to-west-ham-united-/thread/forum/180/thread_id/13446/page/1']
179184,31.01.2019,Transfer failed,https://www.transfermarkt.com/valencia/startseite/verein/1049,https://www.transfermarkt.com/west-ham/startseite/verein/379,https://www.transfermarkt.com/michy-batshuayi-to-west-ham-united-/thread/forum/180/thread_id/11775/post_id/19744#19744,https://www.transfermarkt.com/michy-batshuayi-to-west-ham-united-/thread/forum/180/thread_id/11775/page/1,['https://www.transfermarkt.com/michy-batshuayi-to-west-ham-united-/thread/forum/180/thread_id/11775/page/1']
342048,02.09.2020,Done deal,https://www.transfermarkt.com/west-ham/startseite/verein/379,https://www.transfermarkt.com/west-brom/startseite/verein/984,https://www.transfermarkt.com/grady-diangana-to-west-bromwich-albion-/thread/forum/180/thread_id/13900/post_id/23112#23112,https://www.transfermarkt.com/grady-diangana-to-west-bromwich-albion-/thread/forum/180/thread_id/13900/page/1,['https://www.transfermarkt.com/grady-diangana-to-west-bromwich-albion-/thread/forum/180/thread_id/13900/page/1']
342048,15.07.2020,Transfer failed,https://www.transfermarkt.com/west-ham/startseite/verein/379,https://www.transfermarkt.com/ajax/startseite/verein/610,https://www.transfermarkt.com/grady-diangana-to-ajax-amsterdam-/thread/forum/180/thread_id/13588/post_id/22412#22412,https://www.transfermarkt.com/grady-diangana-to-ajax-amsterdam-/thread/forum/180/thread_id/13588/page/1,['https://www.transfermarkt.com/grady-diangana-to-ajax-amsterdam-/thread/forum/180/thread_id/13588/page/1']
386047,12.06.2020,Transfer failed,https://www.transfermarkt.com/stade-reims/startseite/verein/1421,https://www.transfermarkt.com/wolves/startseite/verein/543,https://www.transfermarkt.com/axel-disasi-to-wolverhampton-wanderers-/thread/forum/180/thread_id/13459/post_id/22233#22233,https://www.transfermarkt.com/axel-disasi-to-wolverhampton-wanderers-/thread/forum/180/thread_id/13459/page/1,['https://www.transfermarkt.com/axel-disasi-to-wolverhampton-wanderers-/thread/forum/180/thread_id/13459/page/1']
386047,17.04.2020,Transfer failed,https://www.transfermarkt.com/stade-reims/startseite/verein/1421,https://www.transfermarkt.com/arsenal/startseite/verein/11,https://www.transfermarkt.com/axel-disasi-to-arsenal-fc-/thread/forum/180/thread_id/13332/post_id/22075#22075,https://www.transfermarkt.com/axel-disasi-to-arsenal-fc-/thread/forum/180/thread_id/13332/page/1,['https://www.transfermarkt.com/axel-disasi-to-arsenal-fc-/thread/forum/180/thread_id/13332/page/1']
480763,08.09.2020,Done deal,https://www.transfermarkt.com/spurs/startseite/verein/148,https://www.transfermarkt.com/villarreal/startseite/verein/1050,https://www.transfermarkt.com/juan-foyth-to-villarreal-cf-/thread/forum/180/thread_id/13924/post_id/24052#24052,https://www.transfermarkt.com/juan-foyth-to-villarreal-cf-/thread/forum/180/thread_id/13924/page/1,['https://www.transfermarkt.com/juan-foyth-to-villarreal-cf-/thread/forum/180/thread_id/13924/page/1']
