player_name,player_url,player_birthday,player_height,player_foot,position,country_from,league_from,club_from,club_from_url,country_to,league_to,club_to,club_to_url,fee,year,player_mv_url,player_stats_url,player_id
Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,"Dec 17, 1998",178,left,Attacking Midfield,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,35000000,2021,https://www.transfermarkt.com/martin-odegaard/marktwertverlauf/spieler/316264,https://www.transfermarkt.com/martin-odegaard/leistungsdaten/spieler/316264,316264
Saúl Ñíguez,https://www.transfermarkt.com/saul-niguez/profil/spieler/148928,"Nov 21, 1994",184,left,Central Midfield,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,5000000,2021,https://www.transfermarkt.com/saul-niguez/marktwertverlauf/spieler/148928,https://www.transfermarkt.com/saul-niguez/leistungsdaten/spieler/148928,148928
Emiliano Buendía,https://www.transfermarkt.com/emiliano-buendia/profil/spieler/321247,"Dec 25, 1996",172,right,Right Winger,England,Premier League,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,38400000,2021,https://www.transfermarkt.com/emiliano-buendia/marktwertverlauf/spieler/321247,https://www.transfermarkt.com/emiliano-buendia/leistungsdaten/spieler/321247,321247
Rodrigo de Paul,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901,"May 24, 1994",180,right,Central Midfield,Italy,Serie A,Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2021,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,35000000,2021,https://www.transfermarkt.com/rodrigo-de-paul/marktwertverlauf/spieler/255901,https://www.transfermarkt.com/rodrigo-de-paul/leistungsdaten/spieler/255901,255901
Tanguy Ndombélé,https://www.transfermarkt.com/tanguy-ndombele/profil/spieler/450936,"Dec 28, 1996",181,right,Central Midfield,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,France,Ligue 1,Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2021,1420000,2021,https://www.transfermarkt.com/tanguy-ndombele/marktwertverlauf/spieler/450936,https://www.transfermarkt.com/tanguy-ndombele/leistungsdaten/spieler/450936,450936
Kurt Zouma,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,"Oct 27, 1994",190,right,Centre-Back,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,England,Premier League,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2021,35000000,2021,https://www.transfermarkt.com/kurt-zouma/marktwertverlauf/spieler/157509,https://www.transfermarkt.com/kurt-zouma/leistungsdaten/spieler/157509,157509
Leon Bailey,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626,"Aug 9, 1997",178,left,Left Winger,Germany,Bundesliga,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2021,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,32000000,2021,https://www.transfermarkt.com/leon-bailey/marktwertverlauf/spieler/387626,https://www.transfermarkt.com/leon-bailey/leistungsdaten/spieler/387626,387626
Angeliño,https://www.transfermarkt.com/angelino/profil/spieler/277179,"Jan 4, 1997",171,left,Left Midfield,England,Premier League,Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2021,Germany,Bundesliga,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,18000000,2021,https://www.transfermarkt.com/angelino/marktwertverlauf/spieler/277179,https://www.transfermarkt.com/angelino/leistungsdaten/spieler/277179,277179
Cristian Romero,https://www.transfermarkt.com/cristian-romero/profil/spieler/355915,"Apr 27, 1998",185,right,Centre-Back,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,Italy,Serie A,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,16000000,2021,https://www.transfermarkt.com/cristian-romero/marktwertverlauf/spieler/355915,https://www.transfermarkt.com/cristian-romero/leistungsdaten/spieler/355915,355915
Moise Kean,https://www.transfermarkt.com/moise-kean/profil/spieler/364135,"Feb 28, 2000",183,right,Centre-Forward,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,7000000,2021,https://www.transfermarkt.com/moise-kean/marktwertverlauf/spieler/364135,https://www.transfermarkt.com/moise-kean/leistungsdaten/spieler/364135,364135
Hakan Calhanoglu,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414,"Feb 8, 1994",178,right,Central Midfield,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/hakan-calhanoglu/marktwertverlauf/spieler/126414,https://www.transfermarkt.com/hakan-calhanoglu/leistungsdaten/spieler/126414,126414
Cristian Romero,https://www.transfermarkt.com/cristian-romero/profil/spieler/355915,"Apr 27, 1998",185,right,Centre-Back,Italy,Serie A,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/cristian-romero/marktwertverlauf/spieler/355915,https://www.transfermarkt.com/cristian-romero/leistungsdaten/spieler/355915,355915
Manuel Locatelli,https://www.transfermarkt.com/manuel-locatelli/profil/spieler/265088,"Jan 8, 1998",185,right,Defensive Midfield,Italy,Serie A,US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2021,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/manuel-locatelli/marktwertverlauf/spieler/265088,https://www.transfermarkt.com/manuel-locatelli/leistungsdaten/spieler/265088,265088
Robin Gosens,https://www.transfermarkt.com/robin-gosens/profil/spieler/273132,"Jul 5, 1994",183,left,Left Midfield,Italy,Serie A,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/robin-gosens/marktwertverlauf/spieler/273132,https://www.transfermarkt.com/robin-gosens/leistungsdaten/spieler/273132,273132
Anthony Martial,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877,"Dec 5, 1995",181,right,Centre-Forward,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,Spain,LaLiga,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/anthony-martial/marktwertverlauf/spieler/182877,https://www.transfermarkt.com/anthony-martial/leistungsdaten/spieler/182877,182877
Patson Daka,https://www.transfermarkt.com/patson-daka/profil/spieler/365172,"Oct 9, 1998",183,right,Centre-Forward,Austria,Bundesliga,Red Bull Salzburg,https://www.transfermarkt.com/red-bull-salzburg/startseite/verein/409/saison_id/2021,England,Premier League,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2021,30000000,2021,https://www.transfermarkt.com/patson-daka/marktwertverlauf/spieler/365172,https://www.transfermarkt.com/patson-daka/leistungsdaten/spieler/365172,365172
Chris Wood,https://www.transfermarkt.com/chris-wood/profil/spieler/108725,"Dec 7, 1991",191,right,Centre-Forward,England,Premier League,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2021,England,Premier League,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2021,30000000,2021,https://www.transfermarkt.com/chris-wood/marktwertverlauf/spieler/108725,https://www.transfermarkt.com/chris-wood/leistungsdaten/spieler/108725,108725
Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,"Jul 20, 1993",178,left,Left-Back,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,30000000,2021,https://www.transfermarkt.com/lucas-digne/marktwertverlauf/spieler/126664,https://www.transfermarkt.com/lucas-digne/leistungsdaten/spieler/126664,126664
Matheus Cunha,https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894,"May 27, 1999",184,right,Centre-Forward,Germany,Bundesliga,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2021,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,26000000,2021,https://www.transfermarkt.com/matheus-cunha/marktwertverlauf/spieler/517894,https://www.transfermarkt.com/matheus-cunha/leistungsdaten/spieler/517894,517894
Bryan Gil,https://www.transfermarkt.com/bryan-gil/profil/spieler/537382,"Feb 11, 2001",175,left,Left Winger,Spain,LaLiga,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2021,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,25000000,2021,https://www.transfermarkt.com/bryan-gil/marktwertverlauf/spieler/537382,https://www.transfermarkt.com/bryan-gil/leistungsdaten/spieler/537382,537382
Matteo Politano,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895,"Aug 3, 1993",171,left,Right Winger,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,Italy,Serie A,SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2021,21000000,2021,https://www.transfermarkt.com/matteo-politano/marktwertverlauf/spieler/165895,https://www.transfermarkt.com/matteo-politano/leistungsdaten/spieler/165895,165895
Dejan Kulusevski,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755,"Apr 25, 2000",186,left,Right Winger,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,10000000,2021,https://www.transfermarkt.com/dejan-kulusevski/marktwertverlauf/spieler/431755,https://www.transfermarkt.com/dejan-kulusevski/leistungsdaten/spieler/431755,431755
Joaquín Correa,https://www.transfermarkt.com/joaquin-correa/profil/spieler/227081,"Aug 13, 1994",188,right,Second Striker,Italy,Serie A,SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2021,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,5000000,2021,https://www.transfermarkt.com/joaquin-correa/marktwertverlauf/spieler/227081,https://www.transfermarkt.com/joaquin-correa/leistungsdaten/spieler/227081,227081
Georginio Wijnaldum,https://www.transfermarkt.com/georginio-wijnaldum/profil/spieler/49499,"Nov 11, 1990",175,right,Central Midfield,England,Premier League,Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2021,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/georginio-wijnaldum/marktwertverlauf/spieler/49499,https://www.transfermarkt.com/georginio-wijnaldum/leistungsdaten/spieler/49499,49499
Danny Ings,https://www.transfermarkt.com/danny-ings/profil/spieler/134294,"Jul 23, 1992",178,right,Centre-Forward,England,Premier League,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2021,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,29420000,2021,https://www.transfermarkt.com/danny-ings/marktwertverlauf/spieler/134294,https://www.transfermarkt.com/danny-ings/leistungsdaten/spieler/134294,134294
Joe Willock,https://www.transfermarkt.com/joe-willock/profil/spieler/340329,"Aug 20, 1999",186,right,Central Midfield,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,England,Premier League,Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2021,29400000,2021,https://www.transfermarkt.com/joe-willock/marktwertverlauf/spieler/340329,https://www.transfermarkt.com/joe-willock/leistungsdaten/spieler/340329,340329
Daniel James,https://www.transfermarkt.com/daniel-james/profil/spieler/319301,"Nov 10, 1997",170,right,Left Winger,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,England,Premier League,Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2021,29100000,2021,https://www.transfermarkt.com/daniel-james/marktwertverlauf/spieler/319301,https://www.transfermarkt.com/daniel-james/leistungsdaten/spieler/319301,319301
Fikayo Tomori,https://www.transfermarkt.com/fikayo-tomori/profil/spieler/303254,"Dec 19, 1997",185,right,Centre-Back,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,28800000,2021,https://www.transfermarkt.com/fikayo-tomori/marktwertverlauf/spieler/303254,https://www.transfermarkt.com/fikayo-tomori/leistungsdaten/spieler/303254,303254
Boubakary Soumaré,https://www.transfermarkt.com/boubakary-soumare/profil/spieler/344605,"Feb 27, 1999",188,right,Defensive Midfield,France,Ligue 1,LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2021,England,Premier League,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2021,20000000,2021,https://www.transfermarkt.com/boubakary-soumare/marktwertverlauf/spieler/344605,https://www.transfermarkt.com/boubakary-soumare/leistungsdaten/spieler/344605,344605
Merih Demiral,https://www.transfermarkt.com/merih-demiral/profil/spieler/340879,"Mar 5, 1998",190,right,Centre-Back,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,Italy,Serie A,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,3000000,2021,https://www.transfermarkt.com/merih-demiral/marktwertverlauf/spieler/340879,https://www.transfermarkt.com/merih-demiral/leistungsdaten/spieler/340879,340879
Adama Traoré,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,"Jan 25, 1996",176,right,Right Winger,England,Premier League,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/adama-traore/marktwertverlauf/spieler/204103,https://www.transfermarkt.com/adama-traore/leistungsdaten/spieler/204103,204103
Bryan Gil,https://www.transfermarkt.com/bryan-gil/profil/spieler/537382,"Feb 11, 2001",175,left,Left Winger,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,Spain,LaLiga,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/bryan-gil/marktwertverlauf/spieler/537382,https://www.transfermarkt.com/bryan-gil/leistungsdaten/spieler/537382,537382
Denis Zakaria,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526,"Nov 20, 1996",191,right,Defensive Midfield,Germany,Bundesliga,Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2021,Italy,Serie A,Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,8600000,2021,https://www.transfermarkt.com/denis-zakaria/marktwertverlauf/spieler/334526,https://www.transfermarkt.com/denis-zakaria/leistungsdaten/spieler/334526,334526
