team_name,team_url,team_manager,team_league_matches,team_league_pd,team_league_pts,team_avg_age,team_foreigners,team_avg_val,team_total_val,team_transfer_income,team_transfer_expense,team_transfer_net,team_rank,season
Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2019,Imanol Alguacil,38,8,56,24.5,8,9650000,347550000,9500000,31750000,-22250000,6,2019
Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2019,Julen Lopetegui,38,20,70,25.7,16,8420000,294750000,131449999,178730000,-47280001,4,2019
Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2019,Rubi,38,-12,41,25.0,10,6430000,244350000,72000000,92750000,-20750000,15,2019
Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2019,Gaizka Garitano,38,3,51,26.3,1,6620000,211750000,0,0,0,11,2019
Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2019,Javier Calleja,38,14,60,26.4,11,6320000,208680000,69300000,43800000,25500000,5,2019
Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2019,Pepe Bordalás,38,6,54,28.0,17,5320000,175450000,11250000,21500000,-10250000,8,2019
Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2019,Fran Escribá,38,-12,37,24.9,13,4770000,167000000,40650000,24600000,16050000,17,2019
RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2019,David Gallego,38,-31,25,25.8,12,3900000,156050000,59000000,61500000,-2500000,20,2019
CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2019,Mauricio Pellegrino,38,-21,36,25.3,16,2810000,109700000,40820000,16450000,24370000,18,2019
Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2019,Asier Garitano,38,-25,39,26.1,11,2890000,106750000,22500000,11770000,10730000,16,2019
Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2019,Paco López,38,-6,49,26.5,8,2740000,90500000,14900000,14600000,300000,12,2019
Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2019,Sergio,38,-11,42,25.6,9,2370000,87780000,8000000,1400000,6600000,13,2019
RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2019,Vicente Moreno,38,-25,33,26.4,15,1850000,64680000,0,7500000,-7500000,19,2019
CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2019,Jagoba Arrasate,38,-8,52,26.4,4,1700000,62780000,300000,14450000,-14150000,10,2019
Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2019,Diego Martínez,38,7,56,25.9,13,1660000,56580000,300000,10750000,-10450000,7,2019
SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2019,José Luis Mendilibar,38,-17,42,28.3,11,1850000,53750000,27000000,17300000,9700000,14,2019
FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2020,Quique Setién,38,47,79,25.0,21,24770000,817500000,146800000,112000000,34800000,3,2020
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,Zinédine Zidane,38,39,84,24.8,17,21280000,787300000,104200000,0,104200000,2,2020
Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,Diego Simeone,38,42,86,24.9,21,19820000,773100000,83300000,89000000,-5700000,1,2020
Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2020,Julen Lopetegui,38,20,77,25.6,17,11010000,418250000,19680000,72250000,-52570000,4,2020
Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2020,Imanol Alguacil,38,21,62,24.7,6,10700000,406600000,28250000,10000000,18250000,5,2020
